Person_ID,Occupation,Area_Selected,Monthly_Rent,Distance_To_Work,Public_Transport,Safety_Rating,Nearby_Hospitals,Nearby_Schools,Shopping_Access,Noise_Level,Internet_Availability,Main_Reason,Household_Type,Age,Annual_Income
P0063,Teacher,Hill View,16500.0,,Poor,4.0,,Yes,Average,Low,Good,Public Transport,Couple,41.0,852000.0
P0030,Self-Employed,Tech Park,,4.8,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Family,33.0,456000.0
P0254,IT Professional,South Garden,15000.0,13.4,Average,3.0,No,Yes,Average,Low,Average,Safety,Couple,23.0,420000.0
P0085,Teacher,Green Valley,19500.0,10.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,26.0,636000.0
P0430,Business,North Avenue,17000.0,9.2,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Single,23.0,852000.0
P0444,Finance,City Center,30000.0,4.1,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Shopping Access,Family,20.0,288000.0
P0528,IT Professional,South Garden,13500.0,10.6,Average,3.0,No,Yes,Average,Low,Average,Public Transport,Family,36.0,480000.0
P0446,Teacher,Tech Park,26500.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Shopping Access,Couple,63.0,852000.0
P0142,IT Professional,North Avenue,17000.0,8.4,,4.0,Yes,Yes,Good,Medium,Good,Safety,Family,22.0,2028000.0
P0315,Finance,Hill View,17500.0,16.5,Poor,4.0,No,Yes,Average,Low,Good,Safety,Couple,29.0,792000.0
P0524,IT Professional,City Center,30500.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,,Family,20.0,180000.0
P0045,Teacher,North Avenue,17500.0,,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Couple,42.0,456000.0
P0211,IT Professional,Tech Park,27000.0,1.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Couple,37.0,204000.0
P0131,Healthcare,Green Valley,20500.0,7.9,Good,5.0,Yes,Yes,Good,Low,,Shopping Access,Single,23.0,264000.0
P0245,Finance,City Center,27000.0,3.3,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Single,23.0,1704000.0
P0571,Self-Employed,City Center,28500.0,4.4,Excellent,9.0,Yes,Yes,Excellent,High,Excellent,Schools,Couple,66.0,144000.0
P0024,Teacher,Tech Park,24000.0,3.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Schools,Couple,22.0,444000.0
P0385,Self-Employed,Green Valley,19000.0,11.5,Good,5.0,,Yes,Good,Low,Excellent,Hospitals,Family,49.0,1176000.0
P0252,Self-Employed,City Center,26500.0,7.6,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,45.0,168000.0
P0372,IT Professional,North Avenue,17000.0,5.4,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,30.0,600000.0
P0200,Self-Employed,Tech Park,26000.0,4.8,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,60.0,1608000.0
P0401,Business,North Avenue,18000.0,12.0,Good,4.0,Yes,Yes,Good,Medium,Good,Hospitals,Couple,62.0,2052000.0
P0467,Self-Employed,Riverside,19000.0,15.3,Average,4.0,Yes,Yes,Good,,Good,Hospitals,Single,51.0,276000.0
P0416,Finance,South Garden,13500.0,7.8,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Family,36.0,192000.0
P0264,Self-Employed,North Avenue,18500.0,9.0,Good,4.0,Yes,Yes,Good, Low ,Good,Affordable Rent,,31.0,948000.0
P0084,Government,Lake View,22500.0,9.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,54.0,420000.0
P0032,IT Professional,City Center,29000.0,4.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,43.0,252000.0
P0500,Healthcare,City Center,27000.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Couple,32.0,1140000.0
P0375,IT Professional,Tech Park,25000.0,5.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Couple,24.0,252000.0
P0207,Government,Hill View,16000.0,17.6,Poor,4.0,No,Yes,Average,Low,Good,Safety,Single,26.0,456000.0
P0178,Teacher,North Avenue,15000.0,7.0,Good,4.0,Yes,Yes,Good,,Good,Affordable Rent,Single,31.0,888000.0
P0174,Healthcare,North Avenue,18500.0,10.8,Good,4.0,Yes,Yes,Good,Medium,Good,Shopping Access,Single,43.0,288000.0
P0022,Government,South Garden,16000.0,11.1,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Single,24.0,480000.0
P0403,Student,Lake View,18500.0,13.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,34.0,480000.0
P0017,Teacher,Tech Park,24500.0,1.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Couple,62.0,1020000.0
P0149,IT Professional,Riverside,17000.0,11.6,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,31.0,300000.0
P0462,Student,Tech Park,32000.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Family,33.0,912000.0
P0281,Finance,North Avenue,13500.0,3.7,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Single,49.0,888000.0
P0176,Healthcare,Tech Park,,3.0,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Single,41.0,384000.0
P0115,Teacher,Hill View,16000.0,14.5,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Single,22.0,264000.0
P0204,Finance,City Center,27500.0,2.0,,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,52.0,936000.0
P0415,Healthcare,Riverside,20500.0,15.6,,6.0,Yes,Yes,Good,Low,Good,Short Commute,Couple,53.0,852000.0
P0127,self-employed,Green Valley ,19000.0,11.0,Good,5.0,Yes, Yes ,Good,Low,Excellent,Short Commute,Family,53.0,1608000.0
P0389,Government,South Garden,14000.0,14.0,Average,3.0,No,Yes,Average,Low,Average,Public Transport,Couple,67.0,1692000.0
P0093,IT Professional,Tech Park,31500.0,3.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Family,18.0,600000.0
P0116,Government,Riverside,22000.0,8.4,Average,4.0,Yes,Yes,Good,,Good,Hospitals,Couple,22.0,888000.0
P0358,Business,North Avenue,17000.0,10.0,Good,,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,28.0,672000.0
P0345,Government,Green Valley,18000.0,4.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Couple,27.0,1896000.0
P0313,Government,Lake View,25000.0,,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,24.0,1980000.0
P0596,Government,Tech Park,20500.0,7.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Couple,35.0,0.0
P0560,Teacher,Green Valley,17000.0,3.8,Good,5.0,Yes,Yes,Good,Low,good,Affordable Rent,Single,23.0,1128000.0
P0206,Student,Green Valley,21000.0,9.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Internet Availability,Couple,43.0,1140000.0
P0247,IT Professional,Hill View,17000.0,0.0,Poor,4.0,No,Yes,Average,Low,excellent,Public Transport,Family,23.0,432000.0
P0567,IT Professional,City Center,28000.0,2.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,26.0,1320000.0
P0184,Government,Lake View,24500.0,10.2,Good,5.0,Yes,Yes,Good,Low,Excellent,,Single,34.0,1104000.0
P0187,Government,Tech Park,25000.0,7.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Couple,31.0,1164000.0
P0195,Business,City Center,32500.0,6.7,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Hospitals,Couple,42.0,672000.0
P0349,Teacher,City Center,30500.0,8.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Schools,Single,27.0,1104000.0
P0243,IT Professional,Lake View,-5000.0,15.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,42.0,1188000.0
P0568,Student,Green Valley,18000.0,7.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,28.0,600000.0
P0072,Teacher,South Garden,13000.0,11.9,Average,3.0,No,Yes,Average,Low,Average,Safety,Family,36.0,156000.0
P0009,Finance,,999999.0,5.9,Good,4.0,Yes,Yes,Good,Medium,Good,Shopping Access,Couple,32.0,1428000.0
P0306,Teacher,City Center,30500.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,65.0,1020000.0
P0058,Teacher,Green Valley,17000.0,6.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,32.0,1536000.0
P0087,Government,Riverside,22500.0,10.0,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,33.0,768000.0
P0051,Teacher,Hill View,15500.0,14.9,Poor,4.0,yes,Yes,Average,Low,Good,Short Commute,Single,59.0,672000.0
P0122,Government,Green Valley,18500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Family,43.0,1128000.0
P0269,Student,Hill View,15000.0,11.0,good,4.0,No,Yes,Average,Low,Good,Affordable Rent,Family,21.0,-120000.0
P0489,Teacher,City Center,22500.0,4.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Schools,Family,39.0,660000.0
P0104,Business,Riverside,20500.0,-2.0,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,43.0,1668000.0
P0551,Business,Green Valley,18500.0,12.5,Good,5.0,Yes,Yes,good,Low,Excellent,Affordable Rent,Couple,43.0,624000.0
P0397,IT Professional,North Avenue,17000.0,5.6,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Couple,23.0,2064000.0
P0492,Government,South Garden,,9.8,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Family,17.0,216000.0
P0427,IT Professional,Lake View,22500.0,10.6,Good,5.0,no,Yes,Good,Low,Excellent,Schools,Single,31.0,1164000.0
P0284,Self-Employed,Lake View,25000.0,11.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,21.0,240000.0
P0318,Government,Tech Park,18500.0,-2.0,,4.0,Yes,No,Excellent,Medium,Excellent,Schools,Couple,28.0,552000.0
P0586,IT Professional,North Avenue,15500.0,,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Single,39.0,2100000.0
P0222,Teacher,Green Valley,15500.0,4.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Single,24.0,804000.0
P0426,Teacher,City Center,26500.0,,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Couple,49.0,348000.0
P0476,Student,Riverside,17000.0,9.6,Average,4.0,Yes,Yes,Good,Low,Good,Public Transport,Single,18.0,156000.0
P0077,Business,North Avenue,16500.0,10.1,Good,,Yes,Yes,Good,Medium,Good,Schools,Couple,55.0,6000000.0
P0337,Teacher,Tech Park,27000.0,2.9,Excellent,4.0,Yes,yes,Excellent,Medium,Excellent,Schools,family,19.0,1608000.0
P0003,Government,Lake View,25000.0,10.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Single,54.0,756000.0
P0388,Student,Hill View,15500.0,16.9,Poor,4.0,No,Yes,Average,Low,,Schools,Single,21.0,912000.0
P0577,Healthcare,Lake View,20500.0,9.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Family,53.0,1476000.0
P0236,Finance,Hill View,17000.0,15.2,Poor,4.0,No,Yes,Average,low,Good,Safety,Couple,42.0,504000.0
P0432,Business,Hill View,17500.0,14.9,Poor,4.0,No,Yes,Average,Low,Good,Safety,Family,20.0,576000.0
P0079,Finance,Riverside,23000.0,16.1,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,38.0,792000.0
P0399,Teacher,Lake View,22000.0,7.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Family,17.0,384000.0
P0073,Government,South Garden,14000.0,13.5,Average,3.0,No,Yes,Average,Low,Average,Safety,Family,52.0,480000.0
P0373,Government,Green Valley,17500.0,11.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Internet Availability,Couple,32.0,1716000.0
P0002,Government,City Center,29000.0,4.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Family,53.0,1020000.0
P0581,IT Professional,South Garden,16000.0,11.2,,3.0,No,Yes,Average,Low,Average,Schools,Family,52.0,1728000.0
P0112,Business,City Center,27500.0,4.1,Excellent,3.0,Yes,YES,Excellent,High,Excellent,Short Commute,Single,31.0,204000.0
P0458,Healthcare,Tech Park,28500.0,3.6,Excellent,4.0,Yes,YES,Excellent,Medium,Excellent,Public Transport,Couple,53.0,
P0536,Student,Green Valley,13000.0,3.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,25.0,252000.0
P0145,IT Professional,Riverside,21500.0,11.3,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,24.0,780000.0
P0580,Government,Tech Park,21000.0,2.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,59.0,396000.0
P0374,IT Professional,Riverside,19000.0,14.5,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,,50.0,480000.0
P0410,Business,Tech Park,24500.0,6.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,42.0,1020000.0
P0380,IT Professional,Hill View,15500.0,16.5,Poor,4.0,No,Yes,Average,Low,Good,Safety,Single,26.0,696000.0
P0081,IT Professional,City Center,27500.0,1.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,52.0,612000.0
P0407,Finance,Tech Park,26500.0,4.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Couple,53.0,540000.0
P0161,IT Professional,Lake View,24000.0,8.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,29.0,1080000.0
P0383,Government,North Avenue,15000.0,6.2,Good,4.0,Yes,Yes,,Medium,Good,Short Commute,Single,32.0,1404000.0
P0056,Teacher,City Center,26500.0,1.9,Excellent,3.0,Yes,Yes,Excellent,MEDIUM,Excellent,Safety,Couple,37.0,300000.0
P0261,Teacher,North Avenue,17500.0,11.3,Good,4.0,Yes,Yes,Good,Medium,good,Affordable Rent,Family,31.0,1932000.0
P0015,Healthcare,Lake View,21500.0,6.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,52.0,288000.0
P0208,Teacher,Hill View,14500.0,17.9,Poor,4.0,No,Yes,,Low,Good,Public Transport,Single,26.0,432000.0
P0212,Business,North Avenue,15000.0,5.0,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Single,29.0,996000.0
P0057,IT Professional,Green Valley,16000.0,10.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Family,52.0,1908000.0
P0055,Teacher,Riverside,17500.0,14.6,Average,4.0,Yes,Yes,Good,Low,Good,Public Transport,Single,20.0,972000.0
P0550,Business,Green Valley,17500.0,11.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Family,26.0,204000.0
P0294,IT Professional,Hill View,14000.0,9.9,Poor,4.0,No,Yes,Average,Low,Good,Short Commute,Single,28.0,696000.0
P0240,Self-Employed,Tech Park,26500.0,2.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Hospitals,,51.0,240000.0
P0540,Student,Riverside,19500.0,10.7,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Family,37.0,1812000.0
P0290,Teacher,Tech Park,29000.0,6.7,Excellent,4.0,Yes,No,,Medium,Excellent,Shopping Access,Single,62.0,408000.0
P0038,Healthcare,Tech Park,26500.0,4.7,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Couple,35.0,180000.0
P0031,Business,City Center,30000.0,2.9,Excellent,3.0,Yes,Yes,Excellent,High,excellent,Safety,Family,18.0,516000.0
P0569,Government,Tech Park,26000.0,4.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Single,35.0,144000.0
P0006,Student,Green Valley,18000.0,6.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Couple,42.0,1056000.0
P0219,IT Professional,South Garden,12500.0,14.5,Average,3.0,No,Yes,Average,Low,Average,Shopping Access,Single,34.0,924000.0
P0328,IT Professional,Lake View,27000.0,,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,63.0,1176000.0
P0275,IT Professional,North Avenue,17500.0,7.9,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,46.0,1176000.0
P0165,Student,City Center,27000.0,2.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Hospitals,Single,34.0,1140000.0
P0280,Self-Employed,Lake View,23500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,28.0,852000.0
P0512,IT Professional,Tech Park,24000.0,0.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Single,28.0,492000.0
P0102,Finance,Hill View,17000.0,14.0,Poor,4.0,No,Yes,Average,Low,Good,Schools,SINGLE,46.0,2016000.0
P0120,Self-Employed,Riverside,18000.0,14.8,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,44.0,1656000.0
P0042,Teacher,Hill View,,11.5,Poor,4.0,No,Yes,Average,MEDIUM,Good,Schools,Family,35.0,780000.0
P0004,Healthcare,North Avenue,15500.0,5.0,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Family,53.0,828000.0
P0549,Teacher,Tech Park,26000.0,2.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Couple,20.0,1332000.0
P0103,Teacher,Tech Park,25000.0,2.7,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,50.0,1980000.0
P0169,Student,Green Valley,21500.0,9.6,Good,5.0,Yes,Yes,EXCELLENT,Low,Excellent,Internet Availability,Family,47.0,1092000.0
P0205,IT Professional,City Center,22000.0,3.1,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,25.0,528000.0
P0110,Self-Employed,Hill View,13000.0,20.1,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Family,40.0,1692000.0
P0114,Business,North Avenue,17500.0,9.7,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,34.0,1080000.0
P0259,IT Professional,Tech Park,24000.0,4.2,good,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Family,44.0,420000.0
P0449,Finance,Lake View,22500.0,12.2,Good,5.0,Yes,Yes,Good, Low ,Excellent,Affordable Rent,Couple,42.0,1152000.0
P0386,finance,Tech Park ,24500.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Couple,27.0,420000.0
P0493,Business,Green Valley,20500.0,10.1,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Family,43.0,732000.0
P0547,Student,City Center,,6.5,Excellent,3.0, Yes ,Yes,Excellent,High,Excellent,Hospitals,Couple,28.0,1476000.0
P0517,Healthcare,Lake View,21500.0,13.6,Good,5.0,Yes,Yes,Good,Low,Excellent,,Couple,21.0,156000.0
P0097,Self-Employed,Green Valley,20000.0,6.4, Good ,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Family,22.0,504000.0
P0152,Finance,Tech Park,28500.0,1.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Schools,Family,47.0,900000.0
P0356,Teacher,North Avenue,16500.0,6.4,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Couple,22.0,660000.0
P0016,Self-Employed,South Garden,14000.0,15.0,Average,3.0,No,Yes,Average,Low,Average,Hospitals,Couple,23.0,888000.0
P0357,self-employed,Green Valley ,19500.0,10.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,43.0,696000.0
P0382,Self-Employed,North Avenue,19000.0,8.4,Good,4.0,Yes,Yes,Good,Medium,Good,Shopping Access,Couple,29.0,492000.0
P0466,Business,Green Valley,19500.0,4.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,46.0,492000.0
P0333,IT Professional,Hill View,14500.0,17.9,Poor,4.0,No,Yes,Average,Low,Good,Safety,Couple,51.0,1788000.0
P0381,IT Professional,Hill View,15000.0,16.6,Poor,4.0,No,Yes,Average,Low,Good,Safety,Family,27.0,540000.0
P0367,Business,Hill View,14000.0,17.2,Poor,4.0,No,Yes,Average,Low,Good,Short Commute,Single,27.0,156000.0
P0598,Student,City Center,28000.0,5.5,Excellent,,Yes,Yes,Excellent,High,Excellent,Schools,Single,34.0,528000.0
P0410,Business,Tech Park,24500.0,6.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,39.0,972000.0
P0592,Teacher,Lake View,21000.0,7.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,63.0,900000.0
P0092,IT Professional,Green Valley,18000.0,7.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Couple,21.0,768000.0
P0291,Healthcare,Riverside,25500.0,12.9,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Couple,61.0,384000.0
P0429,Business,Green Valley,18500.0,17.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Single,27.0,372000.0
P0008,Healthcare,City Center,29500.0,4.6, Good ,3.0,Yes,,Excellent,High,Excellent,Public Transport,Couple,33.0,216000.0
P0520,it professional,Green Valley ,16500.0,5.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Quiet Environment,Family,28.0,240000.0
P0469,Business,Lake View,22000.0,9.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Single,21.0,492000.0
P0182,IT Professional,Green Valley,17000.0,9.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,45.0,948000.0
P0234,Government,Hill View,16500.0,14.3,Poor,4.0,No,Yes,Average,Low,Good,Public Transport,Family,46.0,1092000.0
P0465,Self-Employed,Lake View,20000.0,6.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Couple,21.0,972000.0
P0454,Teacher,Riverside,17000.0,13.4,Average,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Family,26.0,900000.0
P0539,Self-Employed,Hill View,14000.0,13.5,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Couple,18.0,396000.0
P0166,Teacher,Tech Park,26000.0,2.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,,888000.0
P0146,IT Professional,South Garden,14500.0,17.1,Average,3.0,No,,Average,Low,Average,Affordable Rent,Family,40.0,1944000.0
P0237,Student,South Garden,13000.0,10.8,Average,3.0,No,Yes,Average,Low,Average,Public Transport,Couple,30.0,948000.0
P0344,Teacher,North Avenue,18000.0,8.9,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,,2052000.0
P0322,,Hill View,13500.0,12.1,Poor,4.0,No,Yes,Average,Low,GOOD,Safety,Family,25.0,852000.0
