Person_ID,Occupation,Area_Selected,Monthly_Rent,Distance_To_Work,Public_Transport,Safety_Rating,Nearby_Hospitals,Nearby_Schools,Shopping_Access,Noise_Level,Internet_Availability,Main_Reason,Household_Type,Age,Annual_Income,Monthly_Income,Rent_Income_Ratio
P0457,Teacher,Lake View,20500.0,5.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,46.0,348000.0,29000.0,0.7068965517241379
P0548,Healthcare,Hill View,13000.0,15.5,Poor,4.0,No,Yes,Average,Low,Good,Schools,Family,29.0,240000.0,20000.0,0.65
P0155,Teacher,Green Valley,18500.0,4.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Couple,24.0,1380000.0,115000.0,0.1608695652173913
P0160,Government,South Garden,13000.0,8.6,Average,3.0,No,Yes,Average,Low,Average,Safety,Family,18.0,192000.0,16000.0,0.8125
P0461,Business,City Center,27500.0,10.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Couple,32.0,192000.0,16000.0,1.71875
P0522,Healthcare,Lake View,20500.0,11.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Couple,25.0,1116000.0,93000.0,0.22043010752688172
P0364,Finance,Riverside,19500.0,14.4,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Couple,32.0,1068000.0,89000.0,0.21910112359550563
P0590,Finance,Green Valley,17500.0,10.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,40.0,840000.0,70000.0,0.25
P0185,Self-Employed,Green Valley,18500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Family,19.0,744000.0,62000.0,0.29838709677419356
P0511,Finance,Riverside,18000.0,13.6,Average,4.0,Yes,Yes,Good,Low,Good,Schools,Family,51.0,1812000.0,151000.0,0.11920529801324503
P0101,Business,Hill View,17000.0,14.3,Poor,4.0,No,Yes,Average,Low,Good,Safety,Family,29.0,144000.0,12000.0,1.4166666666666667
P0487,Self-Employed,Tech Park,26000.0,1.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Couple,40.0,240000.0,20000.0,1.3
P0329,Self-Employed,City Center,27000.0,5.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,20.0,1704000.0,142000.0,0.19014084507042253
P0063,Teacher,Hill View,16500.0,15.0,Poor,4.0,Yes,Yes,Average,Low,Good,Public Transport,Couple,41.0,852000.0,71000.0,0.2323943661971831
P0030,Self-Employed,Tech Park,26000.0,4.8,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Family,33.0,456000.0,38000.0,0.6842105263157895
P0254,It Professional,South Garden,15000.0,13.4,Average,3.0,No,Yes,Average,Low,Average,Safety,Couple,23.0,420000.0,35000.0,0.42857142857142855
P0085,Teacher,Green Valley,19500.0,10.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,26.0,636000.0,53000.0,0.36792452830188677
P0430,Business,North Avenue,17000.0,9.2,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Single,23.0,852000.0,71000.0,0.23943661971830985
P0444,Finance,City Center,30000.0,4.1,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Shopping Access,Family,20.0,288000.0,24000.0,1.25
P0528,It Professional,South Garden,13500.0,10.6,Average,3.0,No,Yes,Average,Low,Average,Public Transport,Family,36.0,480000.0,40000.0,0.3375
P0446,Teacher,Tech Park,26500.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Shopping Access,Couple,63.0,852000.0,71000.0,0.3732394366197183
P0142,It Professional,North Avenue,17000.0,8.4,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Family,22.0,2028000.0,169000.0,0.10059171597633136
P0315,Finance,Hill View,17500.0,16.5,Poor,4.0,No,Yes,Average,Low,Good,Safety,Couple,29.0,792000.0,66000.0,0.26515151515151514
P0524,It Professional,City Center,30500.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,20.0,180000.0,15000.0,2.033333333333333
P0045,Teacher,North Avenue,17500.0,8.9,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Couple,42.0,456000.0,38000.0,0.4605263157894737
P0211,It Professional,Tech Park,27000.0,1.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Couple,37.0,204000.0,17000.0,1.588235294117647
P0131,Healthcare,Green Valley,20500.0,7.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Single,23.0,264000.0,22000.0,0.9318181818181818
P0245,Finance,City Center,27000.0,3.3,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Affordable Rent,Single,23.0,1704000.0,142000.0,0.19014084507042253
P0571,Self-Employed,City Center,28500.0,4.4,Excellent,4.0,Yes,Yes,Excellent,High,Excellent,Schools,Couple,66.0,144000.0,12000.0,2.375
P0024,Teacher,Tech Park,24000.0,3.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Schools,Couple,22.0,444000.0,37000.0,0.6486486486486487
P0385,Self-Employed,Green Valley,19000.0,11.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Family,49.0,1176000.0,98000.0,0.19387755102040816
P0252,Self-Employed,City Center,26500.0,7.6,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,45.0,168000.0,14000.0,1.8928571428571428
P0372,It Professional,North Avenue,17000.0,5.4,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,30.0,600000.0,50000.0,0.34
P0200,Self-Employed,Tech Park,26000.0,4.8,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,60.0,1608000.0,134000.0,0.19402985074626866
P0401,Business,North Avenue,18000.0,12.0,Good,4.0,Yes,Yes,Good,Medium,Good,Hospitals,Couple,62.0,2052000.0,171000.0,0.10526315789473684
P0467,Self-Employed,Riverside,19000.0,15.3,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Single,51.0,276000.0,23000.0,0.8260869565217391
P0416,Finance,South Garden,13500.0,7.8,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Family,36.0,192000.0,16000.0,0.84375
P0264,Self-Employed,North Avenue,18500.0,9.0,Good,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Couple,31.0,948000.0,79000.0,0.23417721518987342
P0084,Government,Lake View,22500.0,9.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,54.0,420000.0,35000.0,0.6428571428571429
P0032,It Professional,City Center,29000.0,4.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,43.0,252000.0,21000.0,1.380952380952381
P0500,Healthcare,City Center,27000.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Couple,32.0,1140000.0,95000.0,0.28421052631578947
P0375,It Professional,Tech Park,25000.0,5.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Couple,24.0,252000.0,21000.0,1.1904761904761905
P0207,Government,Hill View,16000.0,17.6,Poor,4.0,No,Yes,Average,Low,Good,Safety,Single,26.0,456000.0,38000.0,0.42105263157894735
P0178,Teacher,North Avenue,15000.0,7.0,Good,4.0,Yes,Yes,Good,Low,Good,Affordable Rent,Single,31.0,888000.0,74000.0,0.20270270270270271
P0174,Healthcare,North Avenue,18500.0,10.8,Good,4.0,Yes,Yes,Good,Medium,Good,Shopping Access,Single,43.0,288000.0,24000.0,0.7708333333333334
P0022,Government,South Garden,16000.0,11.1,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Single,24.0,480000.0,40000.0,0.4
P0403,Student,Lake View,18500.0,13.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,34.0,480000.0,40000.0,0.4625
P0017,Teacher,Tech Park,24500.0,1.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Couple,62.0,1020000.0,85000.0,0.28823529411764703
P0149,It Professional,Riverside,17000.0,11.6,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,31.0,300000.0,25000.0,0.68
P0462,Student,Tech Park,32000.0,0.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Family,33.0,912000.0,76000.0,0.42105263157894735
P0281,Finance,North Avenue,13500.0,3.7,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Single,49.0,888000.0,74000.0,0.18243243243243243
P0176,Healthcare,Tech Park,26000.0,3.0,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Internet Availability,Single,41.0,384000.0,32000.0,0.8125
P0115,Teacher,Hill View,16000.0,14.5,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Single,22.0,264000.0,22000.0,0.7272727272727273
P0204,Finance,City Center,27500.0,2.0,Good,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,52.0,936000.0,78000.0,0.3525641025641026
P0415,Healthcare,Riverside,20500.0,15.6,Good,6.0,Yes,Yes,Good,Low,Good,Short Commute,Couple,53.0,852000.0,71000.0,0.2887323943661972
P0127,Self-Employed,Green Valley,19000.0,11.0,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Family,53.0,1608000.0,134000.0,0.1417910447761194
P0389,Government,South Garden,14000.0,14.0,Average,3.0,No,Yes,Average,Low,Average,Public Transport,Couple,67.0,1692000.0,141000.0,0.09929078014184398
P0093,It Professional,Tech Park,31500.0,3.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Safety,Family,18.0,600000.0,50000.0,0.63
P0116,Government,Riverside,22000.0,8.4,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Couple,22.0,888000.0,74000.0,0.2972972972972973
P0358,Business,North Avenue,17000.0,10.0,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,28.0,672000.0,56000.0,0.30357142857142855
P0345,Government,Green Valley,18000.0,4.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Couple,27.0,1896000.0,158000.0,0.11392405063291139
P0313,Government,Lake View,25000.0,10.350000000000001,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,24.0,1980000.0,165000.0,0.15151515151515152
P0596,Government,Tech Park,20500.0,7.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Couple,35.0,0.0,0.0,inf
P0560,Teacher,Green Valley,17000.0,3.8,Good,5.0,Yes,Yes,Good,Low,Good,Affordable Rent,Single,23.0,1128000.0,94000.0,0.18085106382978725
P0206,Student,Green Valley,21000.0,9.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Internet Availability,Couple,43.0,1140000.0,95000.0,0.22105263157894736
P0247,It Professional,Hill View,17000.0,0.0,Poor,4.0,No,Yes,Average,Low,Excellent,Public Transport,Family,23.0,432000.0,36000.0,0.4722222222222222
P0567,It Professional,City Center,28000.0,2.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,26.0,1320000.0,110000.0,0.2545454545454545
P0184,Government,Lake View,24500.0,10.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Single,34.0,1104000.0,92000.0,0.266304347826087
P0187,Government,Tech Park,25000.0,7.5,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Couple,31.0,1164000.0,97000.0,0.25773195876288657
P0195,Business,City Center,32500.0,6.7,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Hospitals,Couple,42.0,672000.0,56000.0,0.5803571428571429
P0349,Teacher,City Center,30500.0,8.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Schools,Single,27.0,1104000.0,92000.0,0.33152173913043476
P0243,It Professional,Lake View,19500.0,15.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,42.0,1188000.0,99000.0,0.19696969696969696
P0568,Student,Green Valley,18000.0,7.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,28.0,600000.0,50000.0,0.36
P0072,Teacher,South Garden,13000.0,11.9,Average,3.0,No,Yes,Average,Low,Average,Safety,Family,36.0,156000.0,13000.0,1.0
P0009,Finance,Green Valley,19500.0,5.9,Good,4.0,Yes,Yes,Good,Medium,Good,Shopping Access,Couple,32.0,1428000.0,119000.0,0.1638655462184874
P0306,Teacher,City Center,30500.0,0.5,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Single,65.0,1020000.0,85000.0,0.3588235294117647
P0058,Teacher,Green Valley,17000.0,6.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,32.0,1536000.0,128000.0,0.1328125
P0087,Government,Riverside,22500.0,10.0,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,33.0,768000.0,64000.0,0.3515625
P0051,Teacher,Hill View,15500.0,14.9,Poor,4.0,Yes,Yes,Average,Low,Good,Short Commute,Single,59.0,672000.0,56000.0,0.2767857142857143
P0122,Government,Green Valley,18500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Family,43.0,1128000.0,94000.0,0.19680851063829788
P0269,Student,Hill View,15000.0,11.0,Good,4.0,No,Yes,Average,Low,Good,Affordable Rent,Family,21.0,768000.0,64000.0,0.234375
P0489,Teacher,City Center,22500.0,4.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Schools,Family,39.0,660000.0,55000.0,0.4090909090909091
P0104,Business,Riverside,20500.0,-2.0,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,43.0,1668000.0,139000.0,0.1474820143884892
P0551,Business,Green Valley,18500.0,12.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Affordable Rent,Couple,43.0,624000.0,52000.0,0.3557692307692308
P0397,It Professional,North Avenue,17000.0,5.6,Good,4.0,Yes,Yes,Good,Medium,Good,Safety,Couple,23.0,2064000.0,172000.0,0.09883720930232558
P0492,Government,South Garden,14000.0,9.8,Average,3.0,No,Yes,Average,Low,Average,Affordable Rent,Family,17.0,216000.0,18000.0,0.7777777777777778
P0427,It Professional,Lake View,22500.0,10.6,Good,5.0,No,Yes,Good,Low,Excellent,Schools,Single,31.0,1164000.0,97000.0,0.23195876288659795
P0284,Self-Employed,Lake View,25000.0,11.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,21.0,240000.0,20000.0,1.25
P0318,Government,Tech Park,18500.0,-2.0,Good,4.0,Yes,No,Excellent,Medium,Excellent,Schools,Couple,28.0,552000.0,46000.0,0.40217391304347827
P0586,It Professional,North Avenue,15500.0,8.9,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Single,39.0,2100000.0,175000.0,0.08857142857142856
P0222,Teacher,Green Valley,15500.0,4.3,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Single,24.0,804000.0,67000.0,0.23134328358208955
P0426,Teacher,City Center,26500.0,4.1,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Couple,49.0,348000.0,29000.0,0.9137931034482759
P0476,Student,Riverside,17000.0,9.6,Average,4.0,Yes,Yes,Good,Low,Good,Public Transport,Single,18.0,156000.0,13000.0,1.3076923076923077
P0077,Business,North Avenue,16500.0,10.1,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Couple,55.0,768000.0,64000.0,0.2578125
P0337,Teacher,Tech Park,27000.0,2.9,Excellent,4.0,Yes,Yes,Excellent,Medium,Excellent,Schools,Family,19.0,1608000.0,134000.0,0.20149253731343283
P0003,Government,Lake View,25000.0,10.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Single,54.0,756000.0,63000.0,0.3968253968253968
P0388,Student,Hill View,15500.0,16.9,Poor,4.0,No,Yes,Average,Low,Excellent,Schools,Single,21.0,912000.0,76000.0,0.20394736842105263
P0577,Healthcare,Lake View,20500.0,9.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Family,53.0,1476000.0,123000.0,0.16666666666666666
P0236,Finance,Hill View,17000.0,15.2,Poor,4.0,No,Yes,Average,Low,Good,Safety,Couple,42.0,504000.0,42000.0,0.40476190476190477
P0432,Business,Hill View,17500.0,14.9,Poor,4.0,No,Yes,Average,Low,Good,Safety,Family,20.0,576000.0,48000.0,0.3645833333333333
P0079,Finance,Riverside,23000.0,16.1,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,38.0,792000.0,66000.0,0.3484848484848485
P0399,Teacher,Lake View,22000.0,7.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Family,17.0,384000.0,32000.0,0.6875
P0073,Government,South Garden,14000.0,13.5,Average,3.0,No,Yes,Average,Low,Average,Safety,Family,52.0,480000.0,40000.0,0.35
P0373,Government,Green Valley,17500.0,11.8,Good,5.0,Yes,Yes,Good,Low,Excellent,Internet Availability,Couple,32.0,1716000.0,143000.0,0.12237762237762238
P0002,Government,City Center,29000.0,4.0,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Family,53.0,1020000.0,85000.0,0.3411764705882353
P0581,It Professional,South Garden,16000.0,11.2,Good,3.0,No,Yes,Average,Low,Average,Schools,Family,52.0,1728000.0,144000.0,0.1111111111111111
P0112,Business,City Center,27500.0,4.1,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Short Commute,Single,31.0,204000.0,17000.0,1.6176470588235294
P0458,Healthcare,Tech Park,28500.0,3.6,Excellent,4.0,Yes,Yes,Excellent,Medium,Excellent,Public Transport,Couple,53.0,768000.0,64000.0,0.4453125
P0536,Student,Green Valley,13000.0,3.9,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,25.0,252000.0,21000.0,0.6190476190476191
P0145,It Professional,Riverside,21500.0,11.3,Average,4.0,Yes,Yes,Good,Low,Good,Safety,Single,24.0,780000.0,65000.0,0.33076923076923076
P0580,Government,Tech Park,21000.0,2.3,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,59.0,396000.0,33000.0,0.6363636363636364
P0374,It Professional,Riverside,19000.0,14.5,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Couple,50.0,480000.0,40000.0,0.475
P0410,Business,Tech Park,24500.0,6.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Quiet Environment,Couple,42.0,1020000.0,85000.0,0.28823529411764703
P0380,It Professional,Hill View,15500.0,16.5,Poor,4.0,No,Yes,Average,Low,Good,Safety,Single,26.0,696000.0,58000.0,0.2672413793103448
P0081,It Professional,City Center,27500.0,1.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Public Transport,Couple,52.0,612000.0,51000.0,0.5392156862745098
P0407,Finance,Tech Park,26500.0,4.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Couple,53.0,540000.0,45000.0,0.5888888888888889
P0161,It Professional,Lake View,24000.0,8.7,Good,5.0,Yes,Yes,Good,Low,Excellent,Short Commute,Single,29.0,1080000.0,90000.0,0.26666666666666666
P0383,Government,North Avenue,15000.0,6.2,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Single,32.0,1404000.0,117000.0,0.1282051282051282
P0056,Teacher,City Center,26500.0,1.9,Excellent,3.0,Yes,Yes,Excellent,Medium,Excellent,Safety,Couple,37.0,300000.0,25000.0,1.06
P0261,Teacher,North Avenue,17500.0,11.3,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,31.0,1932000.0,161000.0,0.10869565217391304
P0015,Healthcare,Lake View,21500.0,6.4,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Single,52.0,288000.0,24000.0,0.8958333333333334
P0208,Teacher,Hill View,14500.0,17.9,Poor,4.0,No,Yes,Good,Low,Good,Public Transport,Single,26.0,432000.0,36000.0,0.4027777777777778
P0212,Business,North Avenue,15000.0,5.0,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Single,29.0,996000.0,83000.0,0.18072289156626506
P0057,It Professional,Green Valley,16000.0,10.6,Good,5.0,Yes,Yes,Good,Low,Excellent,Hospitals,Family,52.0,1908000.0,159000.0,0.10062893081761007
P0055,Teacher,Riverside,17500.0,14.6,Average,4.0,Yes,Yes,Good,Low,Good,Public Transport,Single,20.0,972000.0,81000.0,0.21604938271604937
P0550,Business,Green Valley,17500.0,11.2,Good,5.0,Yes,Yes,Good,Low,Excellent,Shopping Access,Family,26.0,204000.0,17000.0,1.0294117647058822
P0294,It Professional,Hill View,14000.0,9.9,Poor,4.0,No,Yes,Average,Low,Good,Short Commute,Single,28.0,696000.0,58000.0,0.2413793103448276
P0240,Self-Employed,Tech Park,26500.0,2.2,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Hospitals,Couple,51.0,240000.0,20000.0,1.325
P0540,Student,Riverside,19500.0,10.7,Average,4.0,Yes,Yes,Good,Low,Good,Hospitals,Family,37.0,1812000.0,151000.0,0.1291390728476821
P0290,Teacher,Tech Park,29000.0,6.7,Excellent,4.0,Yes,No,Good,Medium,Excellent,Shopping Access,Single,62.0,408000.0,34000.0,0.8529411764705882
P0038,Healthcare,Tech Park,26500.0,4.7,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Couple,35.0,180000.0,15000.0,1.7666666666666666
P0031,Business,City Center,30000.0,2.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,18.0,516000.0,43000.0,0.6976744186046512
P0569,Government,Tech Park,26000.0,4.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Single,35.0,144000.0,12000.0,2.1666666666666665
P0006,Student,Green Valley,18000.0,6.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Public Transport,Couple,42.0,1056000.0,88000.0,0.20454545454545456
P0219,It Professional,South Garden,12500.0,14.5,Average,3.0,No,Yes,Average,Low,Average,Shopping Access,Single,34.0,924000.0,77000.0,0.16233766233766234
P0328,It Professional,Lake View,27000.0,10.350000000000001,Good,5.0,Yes,Yes,Good,Low,Excellent,Schools,Couple,63.0,1176000.0,98000.0,0.2755102040816326
P0275,It Professional,North Avenue,17500.0,7.9,Good,4.0,Yes,Yes,Good,Medium,Good,Short Commute,Couple,46.0,1176000.0,98000.0,0.17857142857142858
P0165,Student,City Center,27000.0,2.9,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Hospitals,Single,34.0,1140000.0,95000.0,0.28421052631578947
P0280,Self-Employed,Lake View,23500.0,5.5,Good,5.0,Yes,Yes,Good,Low,Excellent,Safety,Couple,28.0,852000.0,71000.0,0.33098591549295775
P0512,It Professional,Tech Park,24000.0,0.9,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Short Commute,Single,28.0,492000.0,41000.0,0.5853658536585366
P0102,Finance,Hill View,17000.0,14.0,Poor,4.0,No,Yes,Average,Low,Good,Schools,Single,46.0,2016000.0,168000.0,0.10119047619047619
P0120,Self-Employed,Riverside,18000.0,14.8,Average,4.0,Yes,Yes,Good,Low,Good,Short Commute,Family,44.0,1656000.0,138000.0,0.13043478260869565
P0042,Teacher,Hill View,15500.0,11.5,Poor,4.0,No,Yes,Average,Medium,Good,Schools,Family,35.0,780000.0,65000.0,0.23846153846153847
P0004,Healthcare,North Avenue,15500.0,5.0,Good,4.0,Yes,Yes,Good,Medium,Good,Schools,Family,53.0,828000.0,69000.0,0.2246376811594203
P0549,Teacher,Tech Park,26000.0,2.4,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Public Transport,Couple,20.0,1332000.0,111000.0,0.23423423423423423
P0103,Teacher,Tech Park,25000.0,2.7,Excellent,4.0,Yes,No,Excellent,Medium,Excellent,Affordable Rent,Family,50.0,1980000.0,165000.0,0.15151515151515152
P0169,Student,Green Valley,21500.0,9.6,Good,5.0,Yes,Yes,Excellent,Low,Excellent,Internet Availability,Family,47.0,1092000.0,91000.0,0.23626373626373626
P0205,It Professional,City Center,22000.0,3.1,Excellent,3.0,Yes,Yes,Excellent,High,Excellent,Safety,Family,25.0,528000.0,44000.0,0.5
P0110,Self-Employed,Hill View,13000.0,20.1,Poor,4.0,No,Yes,Average,Low,Good,Affordable Rent,Family,40.0,1692000.0,141000.0,0.09219858156028368
P0114,Business,North Avenue,17500.0,9.7,Good,4.0,Yes,Yes,Good,Medium,Good,Affordable Rent,Family,34.0,1080000.0,90000.0,0.19444444444444445
